id;nazwa;typ_przepisu;zdjecie;zdjecie_content_type;opis;kalorie_suma
1;mobile Fish;WEGETARIANSKI;../fake-data/blob/hipster.png;image/png;FTP Savings Account;70807
2;Movies Producer;BEZGLUTENOWY;../fake-data/blob/hipster.png;image/png;Home Loan Account;706
3;Home Namibia;WEGANSKI;../fake-data/blob/hipster.png;image/png;Common;78517
4;grey Cambridgeshire;BEZGLUTENOWY;../fake-data/blob/hipster.png;image/png;Centers;1326
5;Usability South Dakota envisioneer;BEZGLUTENOWY;../fake-data/blob/hipster.png;image/png;infomediaries;12203
6;Buckinghamshire Games;WEGANSKI;../fake-data/blob/hipster.png;image/png;sky blue Georgia;3131
7;synthesizing Views e-enable;WEGETARIANSKI;../fake-data/blob/hipster.png;image/png;Tasty Plastic Pizza scale;27134
8;generating compelling;WEGANSKI;../fake-data/blob/hipster.png;image/png;scalable;16526
9;Industrial;WEGETARIANSKI;../fake-data/blob/hipster.png;image/png;overriding;70685
10;application quantify Unbranded Plastic Tuna;STANDARDOWY;../fake-data/blob/hipster.png;image/png;Highway Ergonomic;37081
