id;nazwa;zdjecie;zdjecie_content_type;jednostka;kategoria;kalorie_sto;kalorie_jednostka
1;mobile Fish;../fake-data/blob/hipster.png;image/png;GRAMY;ALKOHOLE;65088;2058
2;Producer;../fake-data/blob/hipster.png;image/png;MILILITRY;OWOCE;43194;2306
3;Namibia;../fake-data/blob/hipster.png;image/png;MILILITRY;PIECZENIE;61838;19967
4;Cambridgeshire Mississippi;../fake-data/blob/hipster.png;image/png;SZTUKI;OWOCE;94888;94220
5;South Dakota envisioneer Music;../fake-data/blob/hipster.png;image/png;MILILITRY;PIZZA;39106;25877
6;invoice;../fake-data/blob/hipster.png;image/png;GRAMY;RYBY;77513;44975
7;e-enable Communications capacitor;../fake-data/blob/hipster.png;image/png;GRAMY;PIECZYWO;53969;82873
8;compelling mission-critical;../fake-data/blob/hipster.png;image/png;GRAMY;ZBOZA;77224;39488
9;24 hour;../fake-data/blob/hipster.png;image/png;SZTUKI;WARZYWA;91495;86310
10;Investment Account archive Fantastic Plastic Chicken;../fake-data/blob/hipster.png;image/png;MILILITRY;ZBOZA;11959;97171
